region,indicator,value,year
SI03,unemployment,4.2,2025
SK02,unemployment,3.3,2025
ITG,unemployment,11.4,2025
ES61,unemployment,15.2,2025
LT02,unemployment,7.8,2025
ES51,unemployment,8.4,2025
ES62,unemployment,12.1,2025
SI04,unemployment,3.6,2025
BE35,unemployment,7.7,2025
BE33,unemployment,7.2,2025
ITI,unemployment,5.0,2025
LT01,unemployment,5.1,2025
SE33,unemployment,7.3,2025
ES52,unemployment,11.6,2025
SK01,unemployment,2.5,2025
CH06,unemployment,3.0,2025
DE9,unemployment,3.5,2025
BE25,unemployment,3.0,2025
PL63,unemployment,2.7,2025
DEA,unemployment,4.2,2025
DEB,unemployment,3.4,2025
HU32,unemployment,6.1,2025
BE24,unemployment,5.5,2025
FI1D,unemployment,9.0,2025
HU31,unemployment,7.0,2025
BG31,unemployment,7.3,2025
NL11,unemployment,4.5,2025
ES30,unemployment,8.0,2025
ES43,unemployment,14.8,2025
ES41,unemployment,8.6,2025
LV00,unemployment,6.9,2025
DEF,unemployment,3.7,2025
ES42,unemployment,12.8,2025
CH05,unemployment,3.3,2025
RS11,unemployment,6.9,2025
DEE,unemployment,4.9,2025
DEG,unemployment,3.7,2025
EE00,unemployment,7.5,2025
SE32,unemployment,6.6,2025
SE23,unemployment,8.5,2025
PL41,unemployment,2.8,2025
PL42,unemployment,2.9,2025
BG33,unemployment,3.9,2025
NL21,unemployment,3.7,2025
BG32,unemployment,4.0,2025
ES23,unemployment,8.1,2025
ES24,unemployment,8.0,2025
HU23,unemployment,6.4,2025
BE22,unemployment,4.4,2025
HU12,unemployment,3.0,2025
FRC1,unemployment,7.0,2025
HU22,unemployment,3.1,2025
DE1,unemployment,3.3,2025
DE8,unemployment,3.5,2025
FRC2,unemployment,8.2,2025
FRD1,unemployment,6.6,2025
PL71,unemployment,3.5,2025
PL62,unemployment,3.3,2025
BG34,unemployment,4.6,2025
NL12,unemployment,4.0,2025
NL23,unemployment,3.7,2025
ES13,unemployment,7.3,2025
SE31,unemployment,8.4,2025
NL22,unemployment,3.4,2025
ES21,unemployment,7.3,2025
ES22,unemployment,7.7,2025
NL13,unemployment,3.6,2025
BG41,unemployment,1.9,2025
NL32,unemployment,3.8,2025
EL64,unemployment,8.5,2025
EL63,unemployment,9.7,2025
EL65,unemployment,8.3,2025
ES11,unemployment,8.4,2025
SE22,unemployment,10.3,2025
RS12,unemployment,8.0,2025
ES12,unemployment,8.8,2025
RS22,unemployment,12.0,2025
EL30,unemployment,8.1,2025
HU21,unemployment,3.1,2025
FRD2,unemployment,8.0,2025
FRE2,unemployment,7.5,2025
BE10,unemployment,12.6,2025
HR06,unemployment,3.0,2025
HU11,unemployment,3.2,2025
HR02,unemployment,7.4,2025
SK04,unemployment,9.5,2025
BE23,unemployment,4.2,2025
FRB0,unemployment,6.1,2025
HR03,unemployment,5.5,2025
PL22,unemployment,2.6,2025
EL41,unemployment,6.4,2025
RS21,unemployment,8.7,2025
EL54,unemployment,9.9,2025
PL21,unemployment,2.8,2025
EL42,unemployment,7.3,2025
BG42,unemployment,3.2,2025
SE21,unemployment,7.3,2025
CH01,unemployment,7.8,2025
EL62,unemployment,9.0,2025
NL41,unemployment,3.5,2025
EL61,unemployment,6.3,2025
EL52,unemployment,11.7,2025
SE12,unemployment,9.4,2025
NL34,unemployment,2.2,2025
CH02,unemployment,4.6,2025
CH03,unemployment,4.6,2025
NO02,unemployment,4.1,2025
NO06,unemployment,4.7,2025
EL53,unemployment,15.3,2025
SE11,unemployment,9.1,2025
CH04,unemployment,4.5,2025
NL42,unemployment,3.0,2025
CY0,unemployment,4.4,2025
DE6,unemployment,5.3,2025
AT34,unemployment,4.3,2025
PL72,unemployment,4.3,2025
DE7,unemployment,3.4,2025
HR05,unemployment,3.0,2025
FRE1,unemployment,9.0,2025
AT33,unemployment,3.8,2025
FRL0,unemployment,7.3,2025
FRM0,unemployment,7.3,2025
FRK2,unemployment,7.1,2025
NO0A,unemployment,4.1,2025
NO09,unemployment,4.6,2025
EL43,unemployment,5.1,2025
EL51,unemployment,10.6,2025
FRI1,unemployment,7.7,2025
NO08,unemployment,5.0,2025
NO07,unemployment,3.5,2025
PL91,unemployment,2.1,2025
FRG0,unemployment,6.6,2025
AT12,unemployment,4.4,2025
FRF3,unemployment,7.8,2025
PT16,tertiary_pct,24.0,2018
NL31,tertiary_pct,51.2,2018
NL33,tertiary_pct,38.9,2018
PT17,tertiary_pct,33.1,2018
PT18,tertiary_pct,20.1,2018
UKN,tertiary_pct,40.6,2019
UKC,tertiary_pct,34.1,2019
UKD,tertiary_pct,40.1,2019
UKG,tertiary_pct,37.9,2019
UKI,tertiary_pct,59.6,2019
UKE,tertiary_pct,37.3,2019
UKF,tertiary_pct,38.0,2019
UKH,tertiary_pct,40.9,2019
UKL,tertiary_pct,41.0,2019
UKK,tertiary_pct,43.6,2019
UKJ,tertiary_pct,49.2,2019
UKM,tertiary_pct,50.4,2019
ME0,tertiary_pct,25.6,2020
IS00,tertiary_pct,46.3,2024
AT13,tertiary_pct,46.3,2025
AT12,tertiary_pct,36.7,2025
AT22,tertiary_pct,34.9,2025
AT21,tertiary_pct,36.0,2025
PL22,tertiary_pct,38.4,2025
NL42,tertiary_pct,37.3,2025
NO06,tertiary_pct,49.6,2025
NO08,tertiary_pct,56.5,2025
NO0A,tertiary_pct,49.2,2025
NO07,tertiary_pct,43.7,2025
NO09,tertiary_pct,43.8,2025
BE10,tertiary_pct,56.9,2025
AT33,tertiary_pct,32.5,2025
AT32,tertiary_pct,35.7,2025
AT34,tertiary_pct,32.4,2025
SK03,tertiary_pct,25.8,2025
DE7,tertiary_pct,35.6,2025
DE3,tertiary_pct,48.1,2025
DE5,tertiary_pct,32.3,2025
DE4,tertiary_pct,32.2,2025
LV00,tertiary_pct,40.7,2025
LT02,tertiary_pct,42.7,2025
LT01,tertiary_pct,65.6,2025
PL51,tertiary_pct,44.2,2025
DEA,tertiary_pct,32.3,2025
ITI,tertiary_pct,26.4,2025
SK02,tertiary_pct,25.0,2025
SK01,tertiary_pct,54.8,2025
DEB,tertiary_pct,33.3,2025
DE9,tertiary_pct,33.0,2025
DE8,tertiary_pct,28.3,2025
DEE,tertiary_pct,25.4,2025
DEC,tertiary_pct,28.1,2025
SI04,tertiary_pct,39.7,2025
DED,tertiary_pct,35.0,2025
ITH,tertiary_pct,23.3,2025
ITF,tertiary_pct,19.4,2025
