cntry,n,d_SD,d_UN,d_BE,d_TR,d_CO,d_SE,d_PO,d_AC,d_HE,d_ST,dim_openness,dim_transcendence,dim_conservation,dim_enhancement,country_name,year,round
IE,1990,0.3769679748218359,0.5483867046604404,0.6654406779211753,0.0741819787718046,-0.26362917419072673,0.516523750723945,-0.8412939479994097,-0.41944152853815764,-0.3918373964723953,-0.544348046052635,-0.1863697720087587,0.6069136912908079,0.10909660750857944,-0.6303677382687837,Ireland,2023,11
IL,893,0.3102234723435787,0.28320655788583426,0.4117667021856863,-0.09182711176003049,-0.2903930882058722,0.3837028413654334,-0.5665771637669756,0.09055679343113308,-0.02549010502238739,-0.6416078005807847,-0.11895814441986448,0.34748663003576025,0.0004942137998435738,-0.2404336098332679,Israel,2023,11
IS,826,0.4882209675653312,0.8297900576014321,1.1866213919021853,-0.2917776859679318,-0.6601808580609115,0.027681117798988162,-1.1419833971515458,-0.7324561941959757,0.26421949900561514,-0.39110574206476556,0.12044490816872694,1.0082057247518086,-0.30827640469193424,-0.9372197956737608,Iceland,2023,11
IT,2783,0.1618475815044392,0.41809811983601597,0.3817179829336863,0.15630211372278438,0.031795296304313006,0.593174355582545,-0.535196713254992,-0.06488341720141032,-0.5291810426863414,-0.8298060524842731,-0.3994071512289115,0.39990805138485114,0.26047400851218505,-0.30012001108191394,Italy,2023,11
LT,1342,0.39641229121335175,0.2448709379593362,0.21891339262064183,0.009990963112315005,-0.28091799674127305,0.642338261781851,-0.5707983849413876,-0.08442213602429216,-0.33114247635396343,-0.3642069370080075,-0.09964586146916483,0.23189216528998904,0.12410465749696395,-0.3277087736909159,Lithuania,2023,11
LV,1227,0.3110661287428873,0.26774111916506327,0.49054642499084766,-0.05200896348649613,-0.38567014444050374,0.677747532073687,-0.5526939120166695,-0.33363460669132355,-0.07648335313738548,-0.4952711927998875,-0.08689613906479524,0.3791437720779555,0.07998619740212541,-0.44316425935399656,Latvia,2023,11
ME,1589,0.06570687851251007,0.04238653066385986,0.20128878787180915,0.07364406529428398,-0.0502834146973565,0.2985643000501964,-0.15780086423306258,-0.004094539270175445,-0.24320093380602023,-0.24365428359465907,-0.1394986600518842,0.1218376592678345,0.10689432825602553,-0.08119374415966124,Montenegro,2023,11
NL,1675,0.6124279187806435,0.6716279042304227,0.8514107361633647,-0.15396679718341716,-0.4064009427869653,0.024075642057683127,-1.0960834303732738,-0.5296405723192706,0.17490063127268565,-0.48863223816215734,0.09956543729705726,0.7615193201968937,-0.17876403263756643,-0.8128620013462724,Netherlands,2023,11
NO,1320,0.5007184192001606,0.687052688797338,0.9742725256008349,-0.3016220817008985,0.1537439557007485,0.1421019801292943,-1.0509727456167532,-0.6607735607987135,-0.1668367977265729,-0.6255114392303828,-0.0968477968788001,0.8306626071990865,-0.0019253819569519039,-0.8558731532077334,Norway,2023,11
PL,1427,0.2495148310168712,0.6061684227518261,0.6486553737439419,0.22170657091678694,0.20136540094374938,0.6981866087164186,-0.7370698853998342,-0.4417447726388328,-0.9462044010473198,-0.8083113749651777,-0.5017277446825673,0.6274118982478839,0.37399508214091737,-0.589885269578731,Poland,2023,11
PT,1366,0.3707523126301208,0.44693540037592605,0.6209168633189209,0.1180298031733255,-0.4248850035810189,0.424190308441658,-0.8808582808594103,-0.14063188892409886,0.022754669252804897,-0.7833301678203057,-0.12994106197912667,0.5339261318474234,0.039111702677988185,-0.5107450848917545,Portugal,2023,11
RS,1518,0.2081246564642677,0.4872364524798512,0.7924954462893885,0.14946397057826363,-0.23194473448092703,0.7521320570207439,-0.8833685604293504,-0.27964316504350684,-0.41280949696645786,-0.8352502150015709,-0.34717056209045166,0.6398659493846198,0.22361380257139224,-0.5817175714558016,Serbia,2023,11
SE,1204,0.6029969598986856,0.8657533242018326,1.0352924103324057,-0.14158061476069647,-0.42422736349325507,-0.0731443990839705,-1.0783444611832225,-0.906095207803877,0.20408419212548856,-0.5262828762224456,0.09370337437373197,0.9505228672671192,-0.21298412577930737,-0.9922198344935496,Sweden,2023,11
SI,1226,0.34064896984788234,0.5277537992867215,0.4694194345179136,0.21454641161656296,-0.20394311861540207,0.4580960797870479,-1.006146400989209,-0.19226234614977766,-0.1808455539812392,-0.691888207868206,-0.17724264314567903,0.4985866169023176,0.1562195765508152,-0.5992043735694933,Slovenia,2023,11
SK,1420,0.1973431266161062,0.31059251121671916,0.2783972878028281,0.16929561772315246,0.06369941790653466,0.5540274074217588,-0.5100368289028454,-0.27965370045456256,-0.37529447116456194,-0.5729487370119108,-0.25031032181466795,0.2944994757235468,0.2620606248364331,-0.39434419299438134,Slovakia,2023,11
UA,2596,0.16496200305421305,0.5529533559909761,0.47319766766517735,-0.05039547859838336,-0.037688228588540845,0.7687672934516473,-0.6780842316530711,-0.4305276167441142,-0.40000312777437785,-0.6565645001547111,-0.2974477146564038,0.513086504450905,0.22705062815182397,-0.5540672129412866,Ukraine,2023,11
