group,n,d_SD,d_UN,d_BE,d_TR,d_CO,d_SE,d_PO,d_AC,d_HE,d_ST,dim_openness,dim_transcendence,dim_conservation,dim_enhancement,group_order,cntry,variable,var_label
Town,205,0.19979800167902342,0.23585754775977277,0.39592652269397915,0.021752430909341734,-0.22379512568495588,0.4243994121464325,-0.5883824912029474,0.02091613730890721,0.0522737207118965,-0.6559874560250873,-0.13463857787805575,0.315892035226876,0.07411890579027275,-0.2837331769470201,1,IL,domicil,Urbanisation
Village / rural,106,0.3358654972981992,0.4532958656972257,0.40913975950596354,-0.2934074857256484,-0.3627098938197112,0.2299271144862584,-0.5949754478785991,0.0935199013464367,0.022646525577699927,-0.514906555961122,-0.05213151102840766,0.4312178126015947,-0.14206342168636707,-0.25072777326608126,2,IL,domicil,Urbanisation
Low (<12 yrs),107,0.02543459971269641,0.39928322392959276,0.5389123683319607,0.0812330417543768,-0.08499534573387268,0.4625367516474601,-0.5887173359749492,-0.031004316065135266,-0.22463179541838604,-0.7658586502977589,-0.3216852820011495,0.46909779613077673,0.15292481588932139,-0.3264218542762813,0,IL,education,Education
Medium (12-15 yrs),511,0.2612653355105645,0.24203386207425934,0.3752204210676618,-0.09168411598218539,-0.3252788544406128,0.3484507969660459,-0.5071049121148975,0.09465068876534578,0.054664037833571696,-0.5687296066067828,-0.08426674442088218,0.30862714157096055,-0.022837391152250773,-0.20622711167477592,1,IL,education,Education
High (16+ yrs),240,0.5749182203916247,0.35644068191293926,0.4380929193458845,-0.1996955782096101,-0.3136014861660207,0.42295038577262717,-0.7152141913304056,0.14012016321014456,-0.14946454308936644,-0.7376821018544328,-0.10407614151739156,0.39726680062941194,-0.030115559534334566,-0.28754701406013056,2,IL,education,Education
Men,432,0.3333753157579611,0.18032369954300756,0.358662388183903,-0.1270371870686074,-0.2428025580174825,0.3260233721771784,-0.4618681959689438,0.11867290602784043,-0.007610193203819038,-0.556261152720538,-0.07683201005546535,0.2694930438634553,-0.014605457636303838,-0.17159764497055172,0,IL,gender,Gender
Women,461,0.2887474057987518,0.37864254855601753,0.46102721941133384,-0.05916561233464939,-0.3345389203513387,0.437207354867271,-0.6637070864267715,0.06439532414927368,-0.04207583295594224,-0.7207768868612284,-0.1580351046728063,0.41983488398367563,0.014500940727094331,-0.304287089472418,1,IL,gender,Gender
Low (0-3),293,0.5090860361591093,0.4219939122750101,0.49274850447868146,-0.6795533951215363,-0.46013822414837935,0.4080304317554166,-0.5667129621948096,0.23633475873200155,0.021915412074383953,-0.5955501610751738,-0.021516237613893516,0.4573712083768458,-0.24388706250483302,-0.16518910173140403,0,IL,religiosity,Religiosity
Medium (4-6),264,0.22361703085431014,0.25421182037442885,0.23144594645135302,-0.025928693517090467,-0.24393198357242532,0.414629906702002,-0.4804031669991845,0.07233712547204521,-0.0198150867129147,-0.5405698289050207,-0.1122559615878751,0.24282888341289097,0.048256409870828715,-0.20403302076356966,1,IL,religiosity,Religiosity
High (7-10),325,0.20325916025604845,0.18357785929503312,0.4890123677824833,0.37523666312800535,-0.18179699246408929,0.34963537566210373,-0.6429308356530563,-0.015217700691783301,-0.06701634904157658,-0.7814274847642477,-0.21506155784992534,0.3362951135387582,0.18102501544200664,-0.3354559026163765,2,IL,religiosity,Religiosity
15-29,125,0.37317902573425,0.6200890014405686,1.1192913803313222,-0.5786308737640923,-0.8532511369449596,-0.05515262038180606,-0.8607636822812491,-0.3237866951213734,0.5312971043459095,-0.28710311112944087,0.2057910063169062,0.8696901908859452,-0.49567821036361925,-0.5922751887013111,0,IS,age,Age group
30-44,201,0.4520239029350235,0.8782816553860333,1.1502083829064,-0.2882437848820159,-0.6107299522486099,0.06182702816176203,-1.1703861219107534,-0.6359664564033111,0.13637765618910616,-0.41847550420245533,0.056642018307224776,1.0142450191462165,-0.2790489029896212,-0.9031762891570322,1,IS,age,Age group
